,Book Name,Description,Author,Number of Reviews,Rating,Price,Listening_Time_Minutes,Rank,Genre
90,tool of titan the tactic routine and habit of billionaire icon and world class performer,the latest groundbreaking tome from tim ferriss the number one new york time best selling author of the hour workweek,tim ferriss,3692.0,4.4,1506.0,1361,102,developmental psychology audible audiobooks original business motivation self improvement personal success
91,good economics for hard time better answer to our biggest problem,brought to you by penguin,abhijit banerjee,957.0,4.5,1093.0,884,77,globalisation money finance economic theory audible audiobooks original economic condition book
92,panchatantra story,the story of panchatantra are ancient indian fable that were written in sanskrit and pali language the central character in these fascinating fable are many time animal and bird they show their most identifying characteristic in the various story and impart valuable life lesson and moral,adil mukesh,424.0,4.2,668.0,449,88,literary criticism for child fairy tale child s traditional story book
93,the dhandho investor the low risk value method to high return,a comprehensive value investing framework for the individual investor,mohnish pabrai,829.0,4.3,469.0,304,104,investing trading analysis strategy personal development self help
94,talk english the secret to speak english like a native in month for busy people learn spoken english from the success,you have studied english for year yet you still don t speak english well you ve tried many method and you still make grammar mistake you still can t speak english fluently and you still can t pronounce english word correctly you can read english but you feel too nervous or too shy to speak english,ken xiao,621.0,4.0,233.0,77,151,english language learning sporting event organisation book language learning teaching
95,azadi freedom fascism fiction,brought to you by penguin,arundhati roy,50.0,3.0,888.0,374,73,fascism communism socialism political structure process
96,fire and blood year before a game of throne a targaryen history a song of ice and fire,set year before a game of throne an even greater game began one that set the sky alight with dragon flame and saw the seven kingdom turned to ash,george r.r. martin,3764.0,4.4,18149.0,1584,193,action adventure fantasy historical fantasy military fantasy
97,market wizard interview with top trader,important update this audio is the new recording by dj holte which replaced the original inferior recording and also contains text that wa added in the revised edition of market wizard,jack d. schwager,612.0,4.6,836.0,881,83,stock marketing audible audiobooks original personal finance
98,the story of my experiment with truth an autobiography,to mark the th anniversary of gandhi s birth dk present the audiobook of the story of my experiment with truth an autobiography narrated by sagar arya,m. k. gandhi,409.0,4.5,1093.0,1227,154,historical biography indian history audible audiobooks original asian history book
99,law of power,amoral cunning ruthless and instructive this piercing work distills year of the history of power into well explicated law this bold volume outline the law of power in their unvarnished essence synthesizing the philosophy of machiavelli sun tzu carl von clausewitz and other infamous strategist the law of power will fascinate any listener interested in gaining observing or defending against ultimate control,robert greene,2121.0,4.4,820.0,1386,140,ethic morality philosophy political science history theory political theory
100,romancing the balance sheet for anyone who owns run or manages a business,there is no such thing a a non finance person it is an error to think that finance management is limited to the finance department alone in fact it is happening right through the organization for every action you take impact the bottom line of your company listen to this book to understand what profit really mean and how inventory and sale impact it learn to read balance sheet and deploy fund intelligently make the most efficient use of your working capital and discover the simple secret of marginal costing leverage and fund flow written in a simple conversational style romancing the balance sheet will teach you all the intelligent way of good financial management,anil lamba,460.0,4.6,668.0,327,95,education audible audiobooks original business management education book
101,yuval noah harari audible session free exclusive interview,professor yuval noah harari is a lecturer at the department of history at the hebrew university of jerusalem gaining his phd from oxford university he ha published several book and article his most recent work comprise the international bestseller sapiens a brief history of humankind and most recently homo deus a brief history of tomorrow,robin morgan,18.0,4.7,0.0,19,9,biography of author
